item_id,timestamp,target_value,location
1,2021-10-05 12:00:00,387.11,13.066_80.268
1,2021-10-05 12:15:00,309.728,13.066_80.268
1,2021-10-05 12:30:00,290.109,13.066_80.268
1,2021-10-05 12:45:00,414.054,13.066_80.268
1,2021-10-05 13:00:00,379.944,13.066_80.268
1,2021-10-05 13:15:00,362.521,13.066_80.268
1,2021-10-05 13:30:00,340.302,13.066_80.268
1,2021-10-05 13:45:00,358.536,13.066_80.268
1,2021-10-05 14:00:00,411.055,13.066_80.268
1,2021-10-05 14:15:00,367.619,13.066_80.268
1,2021-10-05 14:30:00,359.917,13.066_80.268
1,2021-10-05 14:45:00,404.444,13.066_80.268
1,2021-10-05 15:00:00,403.228,13.066_80.268
1,2021-10-05 15:15:00,354.696,13.066_80.268
1,2021-10-05 15:30:00,331.433,13.066_80.268
1,2021-10-05 15:45:00,365.816,13.066_80.268
1,2021-10-05 16:00:00,355.264,13.066_80.268
1,2021-10-05 16:15:00,342.588,13.066_80.268
1,2021-10-05 16:30:00,328.785,13.066_80.268
1,2021-10-05 16:45:00,386.788,13.066_80.268
1,2021-10-05 17:00:00,369.168,13.066_80.268
1,2021-10-05 17:15:00,331.478,13.066_80.268
1,2021-10-05 17:30:00,288.4,13.066_80.268
1,2021-10-05 17:45:00,377.626,13.066_80.268
1,2021-10-05 18:00:00,377.933,13.066_80.268
1,2021-10-05 18:15:00,327.526,13.066_80.268
1,2021-10-05 18:30:00,312.317,13.066_80.268
1,2021-10-05 18:45:00,342.956,13.066_80.268
1,2021-10-05 19:00:00,341.595,13.066_80.268
1,2021-10-05 19:15:00,314.103,13.066_80.268
1,2021-10-05 19:30:00,297.288,13.066_80.268
1,2021-10-05 19:45:00,343.478,13.066_80.268
1,2021-10-05 20:00:00,348.139,13.066_80.268
1,2021-10-05 20:15:00,324.07,13.066_80.268
1,2021-10-05 20:30:00,309.682,13.066_80.268
1,2021-10-05 20:45:00,354.099,13.066_80.268
1,2021-10-05 21:00:00,341.447,13.066_80.268
1,2021-10-05 21:15:00,326.327,13.066_80.268
1,2021-10-05 21:30:00,303.683,13.066_80.268
1,2021-10-05 21:45:00,352.354,13.066_80.268
1,2021-10-05 22:00:00,332.621,13.066_80.268
1,2021-10-05 22:15:00,324.669,13.066_80.268
1,2021-10-05 22:30:00,303.644,13.066_80.268
1,2021-10-05 22:45:00,364.781,13.066_80.268
1,2021-10-05 23:00:00,371.7,13.066_80.268
1,2021-10-05 23:15:00,330.42,13.066_80.268
1,2021-10-05 23:30:00,341.566,13.066_80.268
1,2021-10-05 23:45:00,426.638,13.066_80.268
1,2021-10-06 00:00:00,474.44,13.066_80.268
1,2021-10-06 00:45:00,523.948,13.066_80.268
1,2021-10-06 01:00:00,524.073,13.066_80.268
1,2021-10-06 01:15:00,528.291,13.066_80.268
1,2021-10-06 01:30:00,543.443,13.066_80.268
1,2021-10-06 01:45:00,579.035,13.066_80.268
1,2021-10-06 02:00:00,560.022,13.066_80.268
1,2021-10-06 02:15:00,541.472,13.066_80.268
1,2021-10-06 02:30:00,469.22,13.066_80.268
1,2021-10-06 02:45:00,557.924,13.066_80.268
1,2021-10-06 03:00:00,554.058,13.066_80.268
1,2021-10-06 03:15:00,538.707,13.066_80.268
1,2021-10-06 03:30:00,536.869,13.066_80.268
1,2021-10-06 03:45:00,587.124,13.066_80.268
1,2021-10-06 04:00:00,588.478,13.066_80.268
1,2021-10-06 04:15:00,553.267,13.066_80.268
1,2021-10-06 04:30:00,562.526,13.066_80.268
1,2021-10-06 04:45:00,590.114,13.066_80.268
1,2021-10-06 05:00:00,585.104,13.066_80.268
1,2021-10-06 05:15:00,508.971,13.066_80.268
1,2021-10-06 05:30:00,425.822,13.066_80.268
1,2021-10-06 05:45:00,536.663,13.066_80.268
1,2021-10-06 06:00:00,595.51,13.066_80.268
1,2021-10-06 06:15:00,559.792,13.066_80.268
1,2021-10-06 06:30:00,529.566,13.066_80.268
1,2021-10-06 06:45:00,570.921,13.066_80.268
1,2021-10-06 07:00:00,573.016,13.066_80.268
1,2021-10-06 07:15:00,541.73,13.066_80.268
1,2021-10-06 07:30:00,502.297,13.066_80.268
1,2021-10-06 07:45:00,501.991,13.066_80.268
